,author,date,product_id,product_name,firm,rate,text,topic
0,Денис,19.2.20,GIT0029798-000,EB2146 12-54 Earthwood Phosphor Bronze Regular Slinky,Ernie Ball,5,Тут как всегда - отличное качество и звучание,Супер
1,Olga Soboleva,11.8.16,PAH0007008-000,"ZED-12FX 6 x mono, 3 x stereo, USB, FX",Allen & Heath,5,"За недорогую   цену хорошего   качества микшерный пульт, мягкий низ и приятный звук, можно использовать  как для вокала, так и для дискотеки.  ","Недорого   и   качественно, хороший микшер."
2,Иван,18.11.20,PCM0014110-000, ,ESI,5,"Доставка и упаковка как всегда на высоте. Картаподключилась к win10 без проблем. Драйвера не вылетают. Очень приятно что есть виртуальные входы/выходы и можно настроить маршрутизацию с помощью DirectWire. Карта спокойно раскачивает наушники с сопротивлением 250ом. Ручки усиления приятные, плавные и не люфтят. Предусилитель микрофонный приемлемый. Удобный регулятор прямого мониторинга входящего сигнала. Карта очень хорошая, особенно если учитывать цену. Рекомендую .",Карта Esi 22 xt
3,лютый,14.2.20,GIT0039047-000,Cleaning Cloth,Fame,5,"Типичная гитарная тряпочка, без переплаты",Нормальная салфетка
4,Artem,16.6.19,PCM0015562-000,Studio 24C,Presonus,5,"Ни так давно попробовал DAW Presonus Studio One 4, потестировал неделю и как будто бы всю свою жизнь работал в этом DAW, решил купить лицензию на этот DAW, но вспомнил что у Presonus есть еще звуковые карты, промониторил рынок, и увидел что с их железом идет в комплекте Studio One, и мой выбор пал на данную звуковую карту Presonus Studio 24c, цена мега классная даже с доставкой, в комплекте собственно DAW лицензионный, небольшой но нужный набор плагинов, в том числе и от Izotope, регается все просто на сайте Presonus, сама звуковая очень компактная, и с крепким корпусом, стоит на столе очень близко ко мне, так что получается доставать рукой до регуляторов громкости и микса, регуляторы расположены далеко друг от друга, и по-этому очень удобно их крутить, на старой звукавой все было в плотную и с лица не удобны было крутить приходилось лезть в DSP, с этой карточкой все круто, удобно рулить с лица, тише/громче, входы под микрофоны на мой субъективный взгляд звучат чисто, мне понравилось как записался мой голос, до этого использовал звуковую карту от компании Motu в сравнении с ней у Presonus на мой взгляд чище звук, я бы сказал коммерческий звук, проверял только на запись голоса, в качестве самого выходного звука, особо разницы между старой звуковой и Presonus я не услышал, да она звучит немного иначе, но не сказал бы что хуже или лучше. в общем моя оценка, цена/качество/удобство/софт 10 из 10. Советую всем новичкам и полу-профессионалам!!!","Классная звуковая, и классный софт в комплекте !) "
5,Василий,27.1.20,PCM0015562-000,Studio 24C,Presonus,5,"Крутые преампы. Всё крутится легко, без люфтов. отрабатывает свои деньги с  лишком! Пишет отлично. Правда динамический диапазон меньше, чем в 26й. Здесь 108 дб, в 26 112 дб.",Крутая карта. Ничего лишнего.
6,Андрей,13.8.20,PCM0015562-000,Studio 24C,Presonus,5,Звук отличный. Громкость наушиков хватает с запасом.,Шикарная карта.
7,Сергей Мерц,15.5.16,REC0001537-000,"28075 Mixer Stand for Mixer, Amplifiers",König & Meyer,5,"Отличный стенд, компактный, имеет наклон и регулировку по высоте.",Стенд для Микшера
8,Andrey Shustrov,18.4.19,PAH0017505-000,SF 3616 F Reduzierflansch 36mm auf M10 weiblich,Gravity,5,"Очень удобные и качественные, приятный цвет",Хорошие
9,Zergey,22.2.21,GIT0049796-000, ,Fame,5,"It's lightweight and small EQ for guitar, well built, more than affordable price, and it's working as expected.",Affordable EQ for all
10,zeo@yandex.ru,22.3.21,ACC0001235-000, ,MUSIC STORE,5,seems OK,good
11,Innokentii,18.11.20,ACC0001235-000, ,MUSIC STORE,5,"Нормальный, дешевый переходник",Обычный переходник
12, parshenkov.den@mail.ru,12.7.21,REC0003013-000,MS-16,Behringer,5,"Своих денег стоит, для квартиры самое то",Норм
13,Сергей,17.6.20,REC0003013-000,MS-16,Behringer,5,all perfectly,all perfectly
14,Олег,16.7.17,REC0003013-000,MS-16,Behringer,5,"Хорошие колонки для прослушивания музыки, а также для дополнительного мониторинга в домашней студии.",Behringer MS 16 Activmonitor 2-Way 20w
15,Александр,4.8.21,DRU0022364-000,Foot Tambourine FJS2S-BK ,Meinl,5,"Тамбурин мне понравился, по звучанию когда он один - звучит на троечку, но в купе с кахоном и струнными  - на 5 твёрдую!!! Один вопрос, долго ли продержится резинка на скобке от стэплера..))) ",Хороший тамбурин
16,Ruslan Bondarev,22.10.15,GIT0027755-000, ,Maton,5,cause any other key is not supported,must have for Maton guitars
